nodo_id,latitude,longitude,msnm
618,18.41,-65.78,1
619,18.41,-65.74,0
620,18.41,-65.7,0
621,18.41,-65.02,0
622,18.41,-64.98,0
623,18.41,-64.94,4
624,18.41,-64.78,0
625,18.41,-64.74,0
626,18.41,-64.7,0
627,18.41,-64.66,57
628,18.41,-64.62,59
629,18.41,-64.58,22
630,18.41,-64.46,1
631,18.41,-64.42,3
632,18.41,-64.38,0
633,18.45,-67.18,35
634,18.45,-67.14,137
635,18.45,-67.1,148
636,18.45,-67.06,162
637,18.45,-67.02,160
638,18.45,-66.98,147
639,18.45,-66.94,147
640,18.45,-66.9,144
641,18.45,-66.86,112
642,18.45,-66.82,87
643,18.45,-66.78,72
644,18.45,-66.74,51
645,18.45,-66.7,7
646,18.45,-66.66,13
647,18.45,-66.62,38
648,18.45,-66.58,48
649,18.45,-66.54,10
650,18.45,-66.5,38
651,18.45,-66.46,23
652,18.45,-66.42,19
653,18.45,-66.38,13
654,18.45,-66.34,16
655,18.45,-66.3,27
656,18.45,-66.26,11
657,18.45,-66.22,2
658,18.45,-66.18,2
659,18.45,-66.14,2
660,18.45,-66.1,3
661,18.45,-66.06,6
662,18.45,-66.02,1
663,18.45,-65.98,2
664,18.45,-65.94,2
665,18.45,-65.9,1
666,18.45,-65.86,0
667,18.45,-65.82,0
668,18.45,-65.78,0
669,18.45,-64.78,6
670,18.45,-64.74,60
671,18.45,-64.7,5
672,18.45,-64.66,3
673,18.45,-64.62,59
674,18.45,-64.58,41
675,18.45,-64.46,0
676,18.45,-64.42,10
677,18.45,-64.38,4
678,18.45,-64.34,0
679,18.45,-64.3,0
680,18.49,-67.18,16
681,18.49,-67.14,71
682,18.49,-67.1,74
683,18.49,-67.06,93
684,18.49,-67.02,87
685,18.49,-66.98,59
686,18.49,-66.94,44
687,18.49,-66.9,34
688,18.49,-66.86,19
689,18.49,-66.82,17
690,18.49,-66.78,15
691,18.49,-66.74,3
692,18.49,-66.7,1
693,18.49,-66.66,2
694,18.49,-66.62,3
695,18.49,-66.58,2
696,18.49,-66.54,3
697,18.49,-66.5,1
698,18.49,-66.46,1
699,18.49,-66.42,4
700,18.49,-66.38,2
701,18.49,-66.34,3
702,18.49,-66.3,1
703,18.49,-66.26,1
704,18.49,-66.22,0
705,18.49,-66.18,0
706,18.49,-66.14,0
707,18.49,-66.1,0
708,18.49,-66.06,0
709,18.49,-66.02,0
710,18.49,-65.98,0
711,18.49,-65.94,0
712,18.49,-65.9,0
713,18.49,-65.86,0
714,18.49,-64.78,0
715,18.49,-64.74,0
716,18.49,-64.7,0
717,18.49,-64.46,2
718,18.49,-64.42,8
719,18.49,-64.38,101
720,18.49,-64.34,13
721,18.49,-64.3,0
722,18.53,-67.18,0
723,18.53,-67.14,2
724,18.53,-67.1,6
725,18.53,-67.06,6
726,18.53,-67.02,2
727,18.53,-66.98,0
728,18.53,-66.94,0
729,18.53,-66.86,0
730,18.53,-66.82,0
731,18.53,-66.78,0
732,18.53,-66.7,0
733,18.53,-66.66,0
734,18.53,-66.62,0
735,18.53,-64.42,0
736,18.53,-64.38,1
737,18.53,-64.34,1
738,18.53,-64.3,0
739,18.69,-64.42,0
740,18.69,-64.38,0
741,18.69,-64.34,0
742,18.69,-64.3,2
743,18.69,-64.26,0
744,18.73,-64.42,0
745,18.73,-64.38,2
746,18.73,-64.34,2
747,18.73,-64.3,1
748,18.73,-64.26,0
749,18.77,-64.42,0
750,18.77,-64.38,0
751,18.77,-64.34,0
752,18.77,-64.3,0
753,18.77,-64.26,0
