nodo_id,cvegeo,ciudad,municipio,cve_mun,es_cabecera,conglomerado,nombre_conglomerado,metodo,peso,area_urbana_celda_km2,dist_centro_km,n_nodos_dentro,n_nodos_ciudad,calidad,region
783,280110036,Gómez Farías,Gómez Farías,011,True,4,Gómez Farías,celda,0.028513,0.0821,2.696,0,3,baja,Mante
1969,280130001,Güémez,Güémez,013,True,27,Güémez,celda,0.978749,2.2847,1.793,0,2,baja,Centro
1970,280130001,Güémez,Güémez,013,True,27,Güémez,celda,0.021251,0.0496,3.05,0,2,baja,Centro
3841,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,dentro,0.15747,17.6044,0.954,6,17,alta,Fronteriza
3842,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,dentro,0.141133,15.7779,4.893,6,17,alta,Fronteriza
3840,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,dentro,0.13215,14.7738,3.121,6,17,alta,Fronteriza
3806,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,dentro,0.121077,13.5359,4.161,6,17,alta,Fronteriza
3874,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,dentro,0.112654,12.5941,5.679,6,17,alta,Fronteriza
3805,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.070761,7.9107,5.113,6,17,alta,Fronteriza
3875,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,dentro,0.065246,7.2942,4.84,6,17,alta,Fronteriza
3807,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.063821,7.1349,6.352,6,17,alta,Fronteriza
3839,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.062852,7.0265,7.101,6,17,alta,Fronteriza
3873,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.022009,2.4605,8.54,6,17,alta,Fronteriza
3770,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.018243,2.0395,9.025,6,17,alta,Fronteriza
3804,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.009474,1.0592,8.176,6,17,alta,Fronteriza
