nodo_id_viejo,location_id,nodo_id_nuevo
1204,1484823,603
1205,1484824,546
1206,1484824,546
1207,1484825,492
1208,1484825,492
1209,1484826,438
1210,1484826,438
1211,1484827,395
1212,1484827,395
1213,1484828,353
1214,1484828,353
1215,1484829,305
1216,1484829,305
1217,1484830,259
1218,1484830,259
1219,1484831,209
1220,1484831,209
1221,1484832,164
1222,1484832,164
1223,1484833,124
1224,1484833,124
1225,1484834,88
1226,1484834,88
1227,1484835,54
1228,1484821,700
1229,1484822,653
1230,1484822,653
1231,1484823,603
1232,1484823,603
1233,1484824,546
1234,1484824,546
1235,1484825,492
1236,1484825,492
1237,1484826,438
1238,1484826,438
1239,1484827,395
1240,1484827,395
1241,1484828,353
1242,1484828,353
1243,1484829,305
1244,1484829,305
1245,1484830,259
1246,1484830,259
1247,1484831,209
1248,1484831,209
1249,1484832,164
1250,1484832,164
1251,1484833,124
1252,1484833,124
1253,1484834,88
1254,1484834,88
1255,1484835,54
1256,1486019,701
1257,1486020,654
1258,1486020,654
1259,1486021,604
1260,1486021,604
1261,1486022,547
1262,1486022,547
1263,1486023,493
1264,1486023,493
1265,1486024,439
1266,1486024,439
1267,1486025,396
1268,1486025,396
1269,1486026,354
1270,1486026,354
1271,1486027,306
1272,1486027,306
1273,1486028,260
1274,1486028,260
1275,1486029,210
1276,1486029,210
1277,1486030,165
1278,1486030,165
1279,1486031,125
1280,1486031,125
1281,1486032,89
1282,1486032,89
1283,1486033,55
1284,1486019,701
1285,1486020,654
1286,1486020,654
1287,1486021,604
1288,1486021,604
1289,1486022,547
1290,1486022,547
1291,1486023,493
1292,1486023,493
1293,1486024,439
1294,1486024,439
1295,1486025,396
1296,1486025,396
1297,1486026,354
1298,1486026,354
1299,1486027,306
1300,1486027,306
1301,1486028,260
1302,1486028,260
1303,1486029,210
1304,1486029,210
1305,1486030,165
1306,1486030,165
1307,1486031,125
1308,1486031,125
1309,1486032,89
1310,1486032,89
1311,1486033,55
1312,1487220,702
1313,1487221,655
1314,1487221,655
1315,1487222,605
1316,1487222,605
1317,1487223,548
1318,1487223,548
1319,1487224,494
1320,1487224,494
1321,1487225,440
1322,1487225,440
1323,1487226,397
1324,1487226,397
1325,1487227,355
1326,1487227,355
1327,1487228,307
1328,1487228,307
1329,1487229,261
1330,1487229,261
1331,1487230,211
1332,1487230,211
1333,1487231,166
1334,1487231,166
1335,1487232,126
1336,1487232,126
1337,1487233,90
1338,1487233,90
1339,1487234,56
1340,1487220,702
1341,1487221,655
1342,1487221,655
1343,1487222,605
1344,1487222,605
1345,1487223,548
1346,1487223,548
1347,1487224,494
1348,1487224,494
1349,1487225,440
1350,1487225,440
1351,1487226,397
1352,1487226,397
1353,1487227,355
1354,1487227,355
1355,1487228,307
1356,1487228,307
1357,1487229,261
1358,1487229,261
1359,1487230,211
1360,1487230,211
1361,1487231,166
1362,1487231,166
1363,1487232,126
1364,1487232,126
1365,1487233,90
1366,1487233,90
1367,1487234,56
1368,1488423,703
1369,1488424,656
1370,1488424,656
1371,1488425,606
1372,1488425,606
1373,1488426,549
1374,1488426,549
1375,1488427,495
1376,1488427,495
1377,1488428,441
1378,1488428,441
1379,1488429,398
1380,1488429,398
1381,1488430,356
1382,1488430,356
1383,1488431,308
1384,1488431,308
1385,1488432,262
1386,1488432,262
1387,1488433,212
1388,1488433,212
1389,1488434,167
1390,1488434,167
1391,1488435,127
1392,1488435,127
1393,1488436,91
1394,1488436,91
1395,1488437,57
1396,1488423,703
1397,1488424,656
1398,1488424,656
1399,1488425,606
1400,1488425,606
1401,1488426,549
1402,1488426,549
1403,1488427,495
1404,1488427,495
1405,1488428,441
1406,1488428,441
1407,1488429,398
1408,1488429,398
1409,1488430,356
1410,1488430,356
1411,1488431,308
1412,1488431,308
1413,1488432,262
1414,1488432,262
1415,1488433,212
1416,1488433,212
1417,1488434,167
1418,1488434,167
1419,1488435,127
1420,1488435,127
1421,1488436,91
1422,1488436,91
1423,1488437,57
1424,1489626,704
1425,1489627,657
1426,1489627,657
1427,1489628,607
1428,1489628,607
1429,1489629,550
1430,1489629,550
1431,1489630,496
1432,1489630,496
1433,1489631,442
1434,1489631,442
1435,1489632,399
1436,1489632,399
1437,1489633,357
1438,1489633,357
1439,1489634,309
1440,1489634,309
1441,1489635,263
1442,1489635,263
1443,1489636,213
1444,1489636,213
1445,1489637,168
1446,1489637,168
1447,1489638,128
1448,1489638,128
1449,1489639,92
1450,1489639,92
1451,1489640,58
1452,1489626,704
1453,1489627,657
1454,1489627,657
1455,1489628,607
1456,1489628,607
1457,1489629,550
1458,1489629,550
1459,1489630,496
1460,1489630,496
1461,1489631,442
1462,1489631,442
1463,1489632,399
1464,1489632,399
1465,1489633,357
1466,1489633,357
1467,1489634,309
1468,1489634,309
1469,1489635,263
1470,1489635,263
