nodo_id,region
1326,Centro
1327,Centro
1328,Centro
1329,Centro
1330,Centro
1331,Centro
1332,Centro
1333,Centro
1334,Centro
1335,Centro
1336,Centro
1337,Centro
1338,Centro
1339,Centro
1340,Altiplano
1341,Altiplano
1342,Altiplano
1343,Altiplano
1344,Altiplano
1345,Altiplano
1346,Altiplano
1347,Altiplano
1348,Altiplano
1349,Altiplano
1350,Altiplano
1351,Altiplano
1352,Altiplano
1353,Altiplano
1354,Altiplano
1355,Altiplano
1356,Altiplano
1357,Centro
1358,Centro
1359,Centro
1360,Centro
1361,Centro
1362,Centro
1363,Centro
1364,Centro
1365,Centro
1366,Centro
1367,Centro
1368,Centro
1369,Centro
1370,Centro
1371,Centro
1372,Centro
1373,Centro
1374,Centro
1375,Centro
1376,Centro
1377,Centro
1378,Centro
1379,Centro
1380,Centro
1381,Centro
1382,Centro
1383,Centro
1384,Centro
1385,Centro
1386,Centro
1387,Centro
1388,Centro
1389,Centro
1390,Centro
1391,Centro
1392,Centro
1393,Centro
1394,Altiplano
1395,Altiplano
1396,Altiplano
1397,Altiplano
1398,Altiplano
1399,Altiplano
1400,Altiplano
1401,Altiplano
1402,Altiplano
1403,Altiplano
1404,Altiplano
1405,Altiplano
1406,Altiplano
1407,Altiplano
1408,Altiplano
1409,Altiplano
1410,Centro
1411,Centro
1412,Centro
1413,Centro
1414,Centro
1415,Centro
1416,Centro
1417,Centro
1418,Centro
1419,Centro
1420,Centro
1421,Centro
1422,Centro
1423,Centro
1424,Centro
1425,Centro
1426,Centro
1427,Centro
1428,Centro
1429,Centro
1430,Centro
1431,Centro
1432,Centro
1433,Centro
1434,Centro
1435,Centro
1436,Centro
1437,Centro
1438,Centro
1439,Centro
1440,Centro
1441,Centro
1442,Centro
1443,Centro
1444,Centro
1445,Centro
1446,Centro
1447,Centro
1448,Altiplano
1449,Altiplano
1450,Altiplano
1451,Altiplano
1452,Altiplano
1453,Altiplano
1454,Altiplano
1455,Altiplano
1456,Altiplano
1457,Altiplano
1458,Altiplano
1459,Altiplano
1460,Altiplano
1461,Altiplano
1462,Altiplano
1463,Altiplano
1464,Altiplano
1465,Centro
1466,Centro
1467,Centro
1468,Centro
1469,Centro
1470,Centro
1471,Centro
1472,Centro
1473,Centro
1474,Centro
1475,Centro
1476,Centro
1477,Centro
1478,Centro
1479,Centro
1480,Centro
1481,Centro
1482,Centro
1483,Centro
1484,Centro
1485,Centro
1486,Centro
1487,Centro
1488,Centro
1489,Centro
1490,Centro
1491,Centro
1492,Centro
1493,Centro
1494,Centro
1495,Centro
1496,Centro
1497,Centro
1498,Centro
1499,Centro
1500,Centro
1501,Centro
1502,Centro
1503,Altiplano
1504,Altiplano
1505,Altiplano
1506,Altiplano
1507,Altiplano
1508,Altiplano
1509,Altiplano
1510,Altiplano
1511,Altiplano
1512,Altiplano
1513,Altiplano
1514,Altiplano
1515,Altiplano
1516,Altiplano
1517,Altiplano
1518,Altiplano
1519,Altiplano
1520,Centro
1521,Centro
1522,Centro
1523,Centro
1524,Centro
1525,Centro
1526,Centro
1527,Centro
1528,Centro
1529,Centro
1530,Centro
1531,Centro
1532,Centro
1533,Centro
1534,Centro
1535,Centro
1536,Centro
1537,Centro
1538,Centro
1539,Centro
1540,Centro
1541,Centro
1542,Centro
1543,Centro
1544,Centro
1545,Centro
1546,Centro
1547,Centro
1548,Centro
1549,Centro
1550,Centro
1551,Centro
1552,Centro
1553,Centro
1554,Centro
1555,Centro
1556,Centro
1557,Centro
1558,Altiplano
1559,Altiplano
1560,Altiplano
1561,Altiplano
1562,Altiplano
1563,Altiplano
1564,Altiplano
1565,Altiplano
1566,Altiplano
1567,Altiplano
1568,Altiplano
1569,Altiplano
1570,Altiplano
1571,Altiplano
1572,Altiplano
1573,Altiplano
1574,Centro
1575,Centro
1576,Centro
1577,Centro
1578,Centro
1579,Centro
1580,Centro
1581,Centro
1582,Centro
1583,Centro
1584,Centro
1585,Centro
1586,Centro
1587,Centro
1588,Centro
1589,Centro
1590,Centro
1591,Centro
1592,Centro
1593,Centro
1594,Centro
1595,Centro
1596,Centro
1597,Centro
1598,Centro
1599,Centro
1600,Centro
1601,Centro
1602,Centro
1603,Centro
1604,Centro
1605,Centro
1606,Centro
1607,Centro
1608,Centro
1609,Centro
1610,Centro
1611,Centro
1612,Altiplano
1613,Altiplano
1614,Altiplano
1615,Altiplano
1616,Altiplano
1617,Altiplano
1618,Altiplano
1619,Altiplano
1620,Altiplano
1621,Altiplano
1622,Altiplano
1623,Altiplano
1624,Altiplano
1625,Altiplano
1626,Altiplano
1627,Altiplano
1628,Centro
1629,Centro
1630,Centro
1631,Centro
1632,Centro
1633,Centro
1634,Centro
1635,Centro
1636,Centro
1637,Centro
1638,Centro
1639,Centro
1640,Centro
1641,Centro
1642,Centro
1643,Centro
1644,Centro
1645,Centro
1646,Centro
1647,Centro
1648,Centro
1649,Centro
1650,Centro
1651,Centro
1652,Centro
1653,Centro
1654,Centro
1655,Centro
1656,Centro
1657,Centro
1658,Centro
1659,Centro
1660,Centro
1661,Centro
1662,Centro
1663,Centro
1664,Centro
1665,Centro
1666,Altiplano
1667,Altiplano
1668,Altiplano
1669,Altiplano
1670,Altiplano
1671,Altiplano
1672,Altiplano
1673,Altiplano
1674,Altiplano
1675,Altiplano
1676,Altiplano
1677,Altiplano
1678,Altiplano
1679,Altiplano
1680,Centro
1681,Centro
1682,Centro
1683,Centro
1684,Centro
1685,Centro
1686,Centro
1687,Centro
1688,Centro
1689,Centro
1690,Centro
1691,Centro
1692,Centro
1693,Centro
1694,Centro
1695,Centro
1696,Centro
1697,Centro
1698,Centro
1699,Centro
1700,Centro
1701,Centro
1702,Centro
1703,Centro
1704,Centro
1705,Centro
1706,Centro
1707,Centro
1708,Centro
1709,Centro
1710,Centro
1711,Centro
1712,Centro
1713,Centro
1714,Centro
1715,Centro
1716,Centro
1717,Centro
1718,Centro
1719,Altiplano
1720,Altiplano
1721,Altiplano
1722,Altiplano
1723,Altiplano
1724,Altiplano
1725,Altiplano
1726,Altiplano
1727,Altiplano
1728,Altiplano
1729,Altiplano
1730,Altiplano
1731,Altiplano
1732,Altiplano
1733,Centro
1734,Centro
1735,Centro
1736,Centro
1737,Centro
1738,Centro
1739,Centro
1740,Centro
1741,Centro
1742,Centro
1743,Centro
1744,Centro
1745,Centro
1746,Centro
1747,Centro
1748,Centro
1749,Centro
1750,Centro
1751,Centro
1752,Centro
1753,Centro
1754,Centro
1755,Centro
1756,Centro
1757,Centro
1758,Centro
1759,Centro
1760,Centro
1761,Centro
1762,Centro
1763,Centro
1764,Centro
1765,Centro
1766,Centro
1767,Centro
1768,Centro
1769,Centro
1770,Centro
1771,Centro
1772,Altiplano
1773,Altiplano
1774,Altiplano
1775,Altiplano
1776,Altiplano
1777,Altiplano
1778,Altiplano
1779,Altiplano
1780,Altiplano
1781,Altiplano
1782,Altiplano
